"External ID","Бригада","Регион","Начало смены","Расход топлива/Оборудование/Наименование оборудования","Расход топлива/Количество","Расход топлива/Заправка / Расход"
"__export__.roadmark_mrp_shift_work_shift_21324_aae608e3","К03 Медведь","Россия","2023-09-01 00:00:00","К03 HYUNDAI  АК 1163-1","11.53","Расход"
"","","","","К03 HYUNDAI  АК 1163-1","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21373_2b407bbd","Р10 Тямов","Россия","2023-09-01 04:00:00","Газель 330232 Е064ВХ763","39.84","Расход"
"","","","","Бензогенератор Бизон ГБ-2700","6.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21367_a0d4b579","Р11 Островский","Россия","2023-09-01 04:00:00","Р11 LineLazer","3.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21390_5f7d7bfb","У02 Саржан","Россия","2023-09-01 04:00:00","Вулкан 2х1500 №9","49.39","Расход"
"","","","","Контур 400 №1","41.4","Расход"
"","","","","ГАЗел NEXT АР5699-1","33.13","Расход"
"","","","","JAC N120 АР 5957-1","29.3","Расход"
"","","","","Вулкан 2х1500 №9","50.0","Заправка"
"","","","","Контур 400 №1","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21375_3fb708e2","Р03 Тахасюк","Россия","2023-09-01 05:53:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21386_2b3b7187","К01 Чурак","Беларусь","2023-09-01 06:00:00","П05 Контур 650 ХП №24","40.0","Расход"
"","","","","П05 Контур 650 ХП №24","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21377_0a672a78","П09 Мартынюк","Россия","2023-09-01 06:00:00","JAC N120 АР 5962-1","36.16","Расход"
"","","","","Контур 400 №007-3","35.29","Расход"
"__export__.roadmark_mrp_shift_work_shift_21402_3b071658","П02 Лагодич","Россия","2023-09-01 06:40:00","П02 МАЗ АМ 2272-1","11.52","Расход"
"","","","","П05 Бензогенератор","3.3","Расход"
"","","","","Контур 650 ХПЭ №37","72.0","Расход"
"","","","","К04 ГАЗ  AM 6425-1","21.7","Расход"
"__export__.roadmark_mrp_shift_work_shift_21384_fc52f336","Т01 Федоров (Тычковочная)","Россия","2023-09-01 06:50:00","Р09 Газ В721ХС763","37.5","Расход"
"","","","","Р09 Газ В721ХС763","54.74","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21385_de9b2495","П06 Алькин","Россия","2023-09-01 07:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21393_580cf529","Р01 Бочкарёв","Россия","2023-09-01 07:00:00","Р04 HYUNDAI АН 0303-1","17.42","Расход"
"","","","","Р01 Вулкан 2х400","28.9","Расход"
"","","","","Р04 HYUNDAI АН 0303-1","40.0","Заправка"
"","","","","Р01 Вулкан 2х400","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21449_89ac5978","Р04 Безсилко","Россия","2023-09-01 07:00:00","К02 ГАЗ NEXT АН 7653-1 (новый)","72.91","Расход"
"","","","","К02 ГАЗ NEXT АН 7653-1 (новый)","90.0","Заправка"
"","","","","Генератор DENZEL","5.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21380_22b43391","Р08 Алексеев","Россия","2023-09-01 07:00:00","Р08 HYUNDAI VT (HD78)   В837ХР763","39.0","Расход"
"","","","","Р08 HYUNDAI VT (HD78)   В837ХР763","60.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21447_c5452a58","У01 Богдан","Россия","2023-09-01 07:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21378_aabbb6be","К05 Наумчик","Россия","2023-09-01 07:30:00","К05 Шмель 11 АН АМ 6527-1","25.63","Расход"
"","","","","К05 Шмель 11 АН АМ 6527-1","25.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21444_7d6076c0","Д01 Небеленчук (демаркиратор)","Беларусь","2023-09-01 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21376_c43a5564","К06 Камалов_","Россия","2023-09-01 08:00:00","К06 воздуходувка","0.9","Расход"
"","","","","К04 Двигатель ""Кубота""","36.4","Расход"
"","","","","К06 HYUNDAI VT (HD78)  В784ХС763","21.2","Расход"
"","","","","К06 ШМЕЛЬ 12А В146ВН763","24.31","Расход"
"__export__.roadmark_mrp_shift_work_shift_21426_03ce1510","П04 Старикевич","Россия","2023-09-01 08:00:00","П04 Вулкан 5000 №003","43.1","Расход"
"","","","","Контур 750 №1","52.6","Расход"
"","","","","П04 МАЗ АН4994-1","4458.0","Расход"
"","","","","П04 ГАЗ  АН 0195-1","44.66","Расход"
"","","","","П04 ГАЗ  АН 0195-1","38.01","Заправка"
"","","","","Контур 750 №1","60.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21394_39a18d43","П05 Протасевич","Россия","2023-09-01 08:00:00","Вулкан 3000","98.0","Расход"
"","","","","П01 Контур 700 ТПК № 73","94.8","Расход"
"","","","","К01 ГАЗ  АН 0391-1","81.4","Расход"
"","","","","П01 МАЗ АМ 0041-1","70.7","Расход"
"","","","","К01 ГАЗ  АН 0391-1","100.0","Заправка"
"","","","","П01 Контур 700 ТПК № 73","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21412_6b73a125","К04 Северенюк","Россия","2023-09-01 08:16:00","П02 Контур 700 ТП №112","54.8","Расход"
"","","","","ГАЗ NEXT АР 5743-1","72.13","Расход"
"","","","","Б1.1 МАЗ  АI7476-1","259.55","Расход"
"","","","","П02 Вулкан 5000 (Аренда)","40.0","Расход"
"","","","","ГАЗ NEXT АР 5743-1","50.0","Заправка"
"","","","","Б1.1 МАЗ  АI7476-1","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21387_7757ea34","Р05 Шумик","Беларусь","2023-09-01 09:00:00","Р05 HYUNDAI AI1781-1","83.26","Расход"
"","","","","Р05 HYUNDAI AI1781-1","120.31","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21395_b8a7c162","П08 Латыев","Россия","2023-09-01 12:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21521_ff09ca44","Субподряд (ИП Галстян) Крым","Россия","2023-09-01 15:50:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21486_3b49dc79","Р12 Демух","Россия","2023-09-01 18:00:00","К07 Электростанция","3.0","Расход"
"","","","","П01 Газ АМ 6426-1","18.87","Расход"
"","","","","Воздуходувка GB-26","0.9","Расход"
"","","","","Р12 Лайн-лазер Грако 3900","2.4","Расход"
"","","","","К07 Электростанция","10.0","Заправка"
"","","","","Воздуходувка GB-26","10.0","Заправка"
"","","","","Р12 Лайн-лазер Грако 3900","10.0","Заправка"
"","","","","П01 Газ АМ 6426-1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21408_089e1078","Р02  Михалойть","Россия","2023-09-01 21:00:00","Р03 ГАЗ NEXT АН 7652-1 (новый)","8.17","Расход"
"","","","","Р02 воздуходувка","1.8","Расход"
"","","","","Р03 Бензогенератор","2.2","Расход"
"__export__.roadmark_mrp_shift_work_shift_21397_23be00ef","Р06 Христик","Россия","2023-09-01 21:30:00","П01  Бензогенератор","2.2","Расход"
"","","","","Р02 HYUNDAI АМ6919-1","53.79","Расход"
"","","","","К07 Воздуходувка","0.9","Расход"
"","","","","Р02 HYUNDAI АМ6919-1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21383_435b84ff","К03 Медведь","Россия","2023-09-01 22:00:00","К03 ШМЕЛЬ12А  АМ3348-1","50.18","Расход"
"","","","","К03 HYUNDAI  АК 1163-1","10.73","Расход"
"","","","","К03 Воздуходувка","0.9","Расход"
"","","","","К03 ШМЕЛЬ12А  АМ3348-1","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21405_d1942593","Р10 Тямов","Россия","2023-09-02 04:00:00","Газель 330232 Е064ВХ763","46.75","Расход"
